"id";"name";"d1";"d2";"d3";"d4";"d5"
91;"QUALCOMM,Inc.(qcom)";"12.19";"3.63";"-59.53";"1.68";"8.65"
92;"EquinorASA(sto)";"13.35";"-5.03";"14.29";"10.58";"-4.36"
93;"TexasInstrumentsIncorporated(txn)";"15.70";"13.94";"13.55";"3.42";"12.74"
94;"AmericanExpressCo.(axp)";"16.21";"15.91";"16.00";"-12.19";"13.24"
95;"NovoNordiskA/S(nvo)";"16.54";"17.74";"13.06";"15.43";"14.96"
96;"BookingHoldings,Inc.(bkng)";"9.77";"6.07";"-5.55";"17.20";"7.20"
97;"EquinorASA(eqnr)";"16.70";"12.07";"12.91";"25.59";"-4.83"
98;"Twenty-FirstCenturyFox,Inc.(foxa)";"9.88";"9.61";"19.21";"9.04";"5.57"
99;"Twenty-FirstCenturyFox,Inc.(fox)";"9.88";"9.61";"19.21";"9.04";"5.57"
100;"U.S.Bancorp(usb)";"18.22";"17.50";"16.74";"16.78";"15.62"
101;"NextEraEnergy,Inc.(nee)";"9.43";"7.01";"38.31";"20.68";"8.56"
102;"TheGoldmanSachsGroup,Inc.(gs)";"25.24";"25.65";"28.32";"-19.28";"21.28"
103;"LockheedMartinCorp.(lmt)";"14.73";"11.63";"11.57";"-7.15";"9.39"
104;"Bristol-MyersSquibbCo.(bmy)";"19.12";"3.82";"14.95";"-23.29";"8.56"
105;"StarbucksCorp.(sbux)";"8.52";"6.60";"22.50";"7.89";"6.91"
106;"ConocoPhillips(cop)";"18.73";"16.54";"9.00";"15.98";"4.36"
107;"Broadcom,Inc.(avgo)";"11.97";"37.36";"65.81";"6.66";"5.09"
108;"TimeWarner,Inc.(twx)";"16.39";"13.84";"13.68";"10.59";"14.19"
109;"MorganStanley(ms)";"21.55";"24.69";"27.06";"7.04";"17.85"
110;"MitsubishiUFJFinancialGroup,Inc.(mufg)";"31.18";"14.13";"23.48";"32.78";"28.26"
111;"BancoSantanderSA(san)";"25.15";"29.61";"24.05";"21.53";"23.97"
112;"Lowe'sCos.,Inc.(low)";"15.15";"9.85";"5.53";"8.70";"14.13"
113;"ValeSA(vale)";"14.20";"1.03";"16.77";"12.22";"23.87"
114;"WalgreensBootsAlliance,Inc.(wba)";"15.14";"13.46";"13.49";"8.22";"8.07"
115;"ChinaLifeInsuranceCo.Ltd.(lfc)";"--";"--";"--";"--";"--"
116;"CVSHealthCorp.(cvs)";"-25.63";"9.96";"32.75";"12.82";"10.94"
117;"SchlumbergerNV(slb)";"6.58";"4.41";"5.30";"-22.72";"5.56"
118;"ASMLHoldingNV(asml)";"7.41";"7.13";"8.47";"6.80";"5.32"
119;"CharterCommunications,Inc.(chtr)";"5.84";"3.39";"2.23";"96.17";"9,200.00"
120;"Anthem,Inc.(antm)";"--";"--";"--";"--";"--"
121;"DanaherCorp.(dhr)";"6.64";"6.74";"5.67";"8.57";"5.72"
122;"Caterpillar,Inc.(cat)";"17.27";"17.05";"16.67";"-12.99";"10.61"
123;"TheKraftHeinzCo.(khc)";"7.55";"9.93";"79.96";"9.43";"11.60"
124;"AmericanTowerCorp.(amt)";"3.07";"2.76";"2.20";"2.98";"3.44"
125;"TheTJXCos.,Inc.(tjx)";"7.40";"7.16";"8.77";"6.41";"5.53"
126;"DellTechnologies,Inc.(dvmt)";"-4.61";"-5.38";"-5.53";"-9.41";"-9.78"
127;"TheBankofNovaScotia(bns)";"14.87";"17.07";"18.47";"16.56";"15.92"
128;"AmbevSA(abev)";"7.32";"6.72";"8.00";"10.04";"4,340.25"
129;"SonyCorp.(sne)";"21.70";"-4,448.85";"27.89";"12.87";"8.49"
130;"Aetna,Inc.(aet)";"--";"--";"--";"--";"--"
131;"Baidu,Inc.(bidu)";"7.95";"8.72";"6.29";"11.91";"6.43"
132;"BlackRock,Inc.(blk)";"12.16";"10.73";"10.89";"23.04";"9.47"
133;"Becton,Dickinson&Co.(bdx)";"5.94";"-1,200.00";"-1.36";"3.27";"-1.32"
134;"CMEGroup,Inc.(cme)";"4.12";"5.66";"5.99";"29.39";"3.09"
