"id";"name";"d1";"d2";"d3";"d4";"d5"
2737;"WilliamLyonHomes,Inc.(wlh)";"2,723.60";"1,258.80";"1,673.60";"3,006.00";"2,025.10"
2738;"MartinMidstreamPartnersLP(mmlp)";"-971.30";"-724.00";"1,281.00";"1,880.70";"-1,624.80"
2739;"CinerResourcesLP(cinr)";"3,450.00";"2,090.00";"2,720.00";"1,930.00";"1,750.00"
2740;"PennyMacFinancialServices,Inc.(pfsi)";"1,783.70";"1,661.90";"6,231.80";"1,708.10";"1,047.90"
2741;"America'sCar-Mart,Inc.(crmt)";"1,088.40";"1,016.90";"1,337.90";"596.90";"699.20"
2742;"U.S.Concrete,Inc.(uscr)";"1,627.80";"-381.60";"-284.30";"2,427.60";"-216.90"
2743;"TheCatoCorp.(cato)";"629.00";"2,285.00";"-1,514.60";"263.80";"-85.30"
2744;"ChipMOSTechnologies,Inc.(imos)";"416.95";"77.67";"538.70";"750.80";"1,062.60"
2745;"NewGold,Inc.(ngd)";"-160.00";"-3.02";"-2,910.00";"-1.80";"2,920.00"
2746;"HomeTrustBancshares,Inc.(htbi)";"715.40";"608.20";"-1,066.60";"551.00";"476.60"
2747;"AGMortgageInvestmentTrust,Inc.(mitt)";"480.08";"488.01";"2,089.00";"3,264.41";"2,980.38"
2748;"e.l.f.Beauty,Inc.(elf)";"124.80";"69.00";"2,148.00";"586.50";"397.00"
2749;"WaterstoneFinancial,Inc.(wsbf)";"870.30";"942.00";"695.30";"311.50";"738.90"
2750;"PennantParkInvestmentCorp.(pnnt)";"1,691.01";"603.50";"1,229.54";"742.36";"1,877.91"
2751;"DryShips,Inc.(drys)";"357.60";"77.30";"1,145.50";"-1,798.20";"-1,564.40"
2752;"KimballElectronics,Inc.(ke)";"578.10";"1,083.00";"-834.70";"847.40";"812.20"
2753;"Essendant,Inc.(esnd)";"-449.50";"-9.70";"-5,144.00";"-154.60";"-8,193.80"
2754;"BlueBirdCorp.(blbd)";"2,189.10";"183.60";"-783.90";"1,436.10";"2,005.40"
2755;"OneLibertyProperties,Inc.(olp)";"422.40";"555.80";"392.90";"684.20";"964.00"
2756;"EveriHoldings,Inc.(evri)";"147.50";"460.90";"-2,504.90";"-428.90";"-1,905.70"
2757;"AtentoSA(atto)";"404.10";"-166.40";"-890.00";"-1,001.90";"-365.10"
2758;"Harmonic,Inc.(hlit)";"-291.30";"-1,369.40";"-1,184.50";"-1,558.30";"-3,150.00"
2759;"ScorpioBulkers,Inc.(salt)";"-35.40";"80.10";"-577.20";"-106.80";"-1,067.40"
2760;"CarrolsRestaurantGroup,Inc.(tast)";"764.90";"-310.20";"385.70";"275.00";"593.50"
2761;"JustEnergyGroup,Inc.(je)";"-3,208.20";"2.10";"1.64";"-5,179.84";"8,129.33"
2762;"NewSeniorInvestmentGroup,Inc.(snr)";"-3,908.10";"-1,334.90";"3,352.10";"-1,453.90";"312.10"
2763;"ModelN,Inc.(modn)";"-1,543.50";"-389.60";"-525.70";"-902.20";"-1,043.50"
2764;"AmericanVanguardCorp.(avd)";"556.40";"460.50";"839.90";"401.80";"453.10"
2765;"EllingtonFinancialLLC(efc)";"2,119.30";"2,103.90";"744.40";"619.50";"506.40"
2766;"RigelPharmaceuticals,Inc.(rigl)";"-2,555.70";"-2,438.50";"-2,587.10";"-1,766.00";"-1,914.70"
2767;"ProthenaCorp.Plc(prta)";"-5,988.20";"-4,874.30";"-4,775.80";"-5,239.40";"-1,770.10"
2768;"GreenBrickPartners,Inc.(grbk)";"1,899.50";"1,323.90";"-438.00";"1,192.90";"943.10"
2769;"GoldenEntertainment,Inc.(gden)";"359.40";"393.00";"-1,343.90";"855.50";"171.30"
2770;"BaytexEnergyCorp.(bte)";"-4,551.02";"-4,959.02";"5,981.19";"-736.25";"689.26"
2771;"RosettaStone,Inc.(rst)";"-415.80";"-640.20";"236.60";"-323.10";"-113.50"
2772;"Depomed,Inc.(depo)";"-2,104.80";"3,382.40";"-3,310.40";"-1,599.20";"-2,665.90"
2773;"TarenaInternational,Inc.(tedu)";"-2,604.82";"-2,837.76";"1,127.78";"1,453.58";"552.16"
2774;"AdvantageOil&GasLtd.(aav)";"-1,184.52";"798.78";"1,685.30";"1,039.27";"1,363.87"
2775;"B.RileyFinancial,Inc.(rily)";"1,780.10";"484.20";"-545.10";"12.20";"336.30"
2776;"VeraBradley,Inc.(vra)";"928.20";"-137.00";"851.30";"35.90";"219.30"
2777;"FirstConnecticutBancorp,Inc.(fbnk)";"671.60";"600.20";"49.90";"559.10";"499.60"
2778;"CiveoCorp.(cveo)";"28.90";"-5,533.50";"-4,746.30";"-2,220.80";"-1,471.70"
2779;"VericelCorp.(vcel)";"-465.10";"-765.90";"28.70";"-540.70";"-238.80"
2780;"OcwenFinancialCorp.(ocn)";"-2,983.10";"254.80";"-4,448.30";"-625.20";"-4,450.70"
2781;"CovenantTransportationGroup,Inc.(cvti)";"1,161.40";"997.10";"441.70";"4,929.80";"463.20"
2782;"UnitedCommunityFinancialCorp.(ucfc)";"952.90";"950.00";"851.50";"447.40";"751.40"
2783;"BiglariHoldings,Inc.(bh)";"-753.90";"-181.40";"6,946.60";"-2,470.00";"2,112.60"
2784;"CoriumInternational,Inc.(cori)";"-1,239.10";"-1,800.60";"-1,329.20";"-1,294.30";"-1,338.40"
2785;"EnviroStar,Inc.(evi)";"70.50";"105.00";"139.80";"51.90";"45.60"
2786;"StemlineTherapeutics,Inc.(stml)";"-1,892.87";"-1,841.68";"-2,174.93";"-1,605.61";"-1,545.69"
2787;"TheFirstBancshares,Inc.(Mississippi)(fbms)";"516.20";"524.50";"395.70";"241.45";"471.40"
2788;"EdenorSA(edn)";"-841.87";"7,364.73";"123.99";"1,666.69";"-327.86"
2789;"Barnes&Noble,Inc.(bks)";"-1,705.90";"-2,109.30";"-6,355.70";"-3,012.10";"-1,078.90"
2790;"AdamasPharmaceuticals,Inc.(adms)";"-3,399.30";"-3,497.10";"-2,935.70";"-2,336.00";"-2,074.50"
2791;"REXAmericanResourcesCorp.(rex)";"1,049.00";"1,035.20";"2,013.50";"1,499.40";"417.10"
2792;"InovioPharmaceuticals,Inc.(ino)";"-663.91";"-3,235.08";"-2,150.62";"-3,413.46";"-947.91"
2793;"SecooHoldingLtd.(seco)";"570.23";"407.44";"706.23";"508.47";"420.67"
2794;"BarrettBusinessServices,Inc.(bbsi)";"1,124.00";"-912.30";"1,048.60";"1,478.50";"1,112.60"
2795;"FinancialInstitutions,Inc.(fisi)";"1,057.70";"1,217.00";"928.80";"1,105.80";"827.90"
2796;"BiospecificsTechnologiesCorp.(bstc)";"430.07";"397.86";"264.46";"271.48";"262.41"
2797;"GencoShipping&TradingLtd.(gnk)";"-112.00";"-5,581.30";"256.90";"-3,118.20";"-1,451.30"
2798;"InvacareCorp.(ivc)";"-1,654.30";"-1,410.80";"-1,766.20";"-1,859.10";"-2,350.80"
2799;"BeyondSpring,Inc.(bysi)";"-1,278.70";"-1,408.10";"-1,628.90";"-1,751.20";"-1,487.50"
2800;"AssemblyBiosciences,Inc.(asmb)";"-2,680.62";"-1,624.88";"-300.71";"-1,227.20";"-1,359.89"
2801;"AVHomes,Inc.(avhi)";"299.90";"-234.30";"-2,354.50";"-147.70";"64.70"
2802;"CleanEnergyFuelsCorp.(clne)";"-1,316.10";"1,047.30";"-2,868.80";"-9,488.80";"-1,853.90"
2803;"LimoneiraCo.(lmnr)";"820.00";"660.60";"862.30";"-265.80";"774.30"
2804;"CatchMarkTimberTrust,Inc.(ctt)";"-150.50";"-338.50";"-502.20";"-404.40";"-246.60"
2805;"Unifi,Inc.(ufi)";"1,076.40";"17.60";"1,180.20";"896.00";"970.40"
2806;"AkebiaTherapeutics,Inc.(akba)";"-3,406.90";"-2,341.80";"1,228.10";"-2,313.40";"-2,151.80"
2807;"HRGGroup,Inc.(hrg)";"-3,730.00";"7,810.00";"4,910.00";"3,210.00";"300.00"
2808;"HinghamInstitutionforSavings(hifs)";"884.80";"797.50";"891.20";"669.10";"648.40"
2809;"VeecoInstruments,Inc.(veco)";"-2.38";"-1,582.70";"-561.60";"-2,188.40";"-1,838.80"
2810;"PerryEllisInternational,Inc.(pery)";"-326.50";"1,024.70";"3,968.50";"321.50";"97.90"
2811;"HavertyFurnitureCos.,Inc.(hvt.a)";"621.40";"631.30";"292.10";"598.30";"618.50"
2812;"AltisourcePortfolioSolutionsSA(asps)";"866.70";"156.80";"-413.20";"2.86";"696.10"
2813;"AnworthMortgageAssetCorp.(anh)";"1,263.60";"-515.00";"1,392.60";"1,055.40";"807.20"
2814;"EntravisionCommunicationsCorp.(evc)";"484.00";"-180.80";"1,297.20";"1.57";"349.50"
2815;"CVRPartnersLP(uan)";"-1,314.60";"-1,645.90";"-1,905.10";"-2,740.50";"-3,160.20"
2816;"Switch,Inc.(Nevada)(swch)";"953.90";"395.00";"-6,034.70";"1,648.60";"1,495.30"
2817;"UniversalElectronics,Inc.(ueic)";"2,265.90";"-58.70";"-1,685.40";"172.80";"468.40"
2818;"GreenlightCapitalReLtd.(glre)";"--";"--";"--";"--";"--"
2819;"LimelightNetworks,Inc.(llnw)";"-27.20";"1,515.90";"14.90";"-91.20";"-175.60"
2820;"HaymakerAcquisitionCorp.(hyacu)";"107.73";"86.05";"33.80";"--";"-1,689.00"
2821;"LaJollaPharmaceuticalCo.(ljpc)";"-5,074.50";"-5,277.80";"-5,052.80";"-3,854.60";"-2,628.80"
2822;"MarineMax,Inc.(hzo)";"1,737.60";"618.40";"421.20";"391.10";"1,424.40"
2823;"J.C.PenneyCo.,Inc.(jcp)";"-1.01";"-7,800.00";"2.54";"-1.28";"-6,200.00"
2824;"FarmersCapitalBankCorp.(ffkt)";"584.70";"564.10";"-143.50";"531.20";"448.20"
2825;"CorEnergyInfrastructureTrust,Inc.(corr)";"541.40";"531.08";"435.90";"678.04";"687.70"
2826;"DorianLPGLtd.(lpg)";"-2,059.66";"-346.60";"167.04";"-1,191.51";"-669.00"
2827;"UnitedStatesLime&Minerals,Inc.(uslm)";"663.80";"426.20";"1,158.30";"566.70";"527.80"
2828;"IntrepidPotash,Inc.(ipi)";"-95.80";"175.70";"-138.90";"-190.80";"-593.50"
2829;"Cowen,Inc.(cown)";"1,379.00";"370.10";"1,515.50";"-7,767.00";"296.80"
2830;"HavertyFurnitureCos.,Inc.(hvt)";"621.40";"631.30";"292.10";"598.30";"618.50"
2831;"Park-OhioHoldingsCorp.(pkoh)";"1,500.00";"1,020.00";"600.00";"1,020.00";"320.00"
2832;"RingEnergy,Inc.(rei)";"471.98";"566.56";"-450.99";"307.38";"191.08"
2833;"AbeonaTherapeutics,Inc.(abeo)";"-1,170.00";"-846.30";"-845.00";"-534.30";"-827.90"
2834;"Gra�0�9ayMonteroSAA(gram)";"-316.53";"-154.41";"-1.09";"3,543.83";"2,677.90"
2835;"Globalstar,Inc.(gsat)";"-701.20";"8,793.00";"-2,258.50";"5,240.60";"-9,873.40"
2836;"SierraBancorp(bsrr)";"707.10";"799.20";"671.00";"404.30";"574.20"
2837;"OldSecondBancorp,Inc.(osbc)";"964.20";"626.10";"948.90";"-251.20";"807.70"
2838;"SinovacBiotechLtd.(sva)";"681.20";"428.20";"-1,256.30";"-158.90";"126.40"
2839;"FarmerBrothersCo.(farm)";"13.30";"-390.80";"-1,876.80";"-97.80";"111.20"
2840;"VishayPrecisionGroup,Inc.(vpg)";"768.30";"495.80";"445.00";"432.50";"361.60"
2841;"EPEnergyCorp.(epe)";"-5,800.00";"1,800.00";"-7,200.00";"-7,200.00";"-300.00"
2842;"NemauraMedical,Inc.(nmrd)";"-76.32";"-55.33";"-46.64";"-39.30";"-40.78"
2843;"YorkWaterCo.(yorw)";"330.50";"259.40";"352.70";"393.10";"293.50"
2844;"WesternAssetMortgageCapitalCorp.(wmc)";"142.60";"2,166.60";"2,133.00";"2,269.20";"2,062.20"
2845;"Noodles&Co.(ndls)";"105.00";"-593.50";"-357.50";"-48.70";"-833.50"
2846;"SteelPartnersHoldingsLP(splp)";"1,355.50";"-885.10";"-1,751.30";"1,090.50";"1,571.80"
2847;"NVECorp.(nvec)";"428.26";"394.50";"388.24";"357.16";"316.10"
2848;"CityOfficeREIT,Inc.(cio)";"-265.30";"4,520.80";"-292.00";"-363.00";"820.80"
2849;"FivePrimeTherapeutics,Inc.(fprx)";"-3,406.00";"-2,039.00";"-2,921.10";"-4,328.20";"-4,428.60"
2850;"OxfordImmunotecGlobalPlc(oxfd)";"-647.10";"-1,032.60";"880.00";"-1,684.70";"-1,676.60"
2851;"CapitalCityBankGroup,Inc.(ccbg)";"599.00";"600.30";"577.30";"3,000.00";"455.50"
2852;"Triple-SManagementCorp.(gts)";"--";"--";"--";"--";"--"
2853;"DelTacoRestaurants,Inc.(taco)";"587.40";"421.00";"322.90";"3,520.20";"510.10"
2854;"A10Networks,Inc.(aten)";"-453.20";"-1,967.00";"407.40";"-265.60";"-826.90"
2855;"EnphaseEnergy,Inc.(enph)";"-373.80";"-512.80";"-294.00";"-685.40";"-1,209.30"
2856;"YintechInvestmentHoldingsLtd.(yin)";"-760.69";"-790.48";"-826.02";"1,028.63";"1,244.79"
2857;"BlackRockCapitalInvestmentCorp.(bkcc)";"417.15";"-91.57";"334.80";"-1,375.12";"1,697.54"
2858;"PengrowthEnergyCorp.(pgh)";"-2,150.53";"-1.66";"-1.15";"-1.80";"-6,520.84"
2859;"KindredBiosciences,Inc.(kin)";"-1,124.10";"-997.10";"-973.00";"-789.00";"-676.70"
2860;"Chuy'sHoldings,Inc.(chuy)";"645.60";"318.30";"1,588.20";"319.50";"532.90"
2861;"Zymeworks,Inc.(zyme)";"-587.40";"-2,120.40";"3,273.30";"-1,624.50";"-1,096.80"
2862;"RepublicFirstBancorp,Inc.(frbk)";"232.20";"237.10";"177.70";"273.80";"232.10"
2863;"RedRobinGourmetBurgers,Inc.(rrgb)";"-187.40";"438.00";"880.70";"271.40";"693.10"
2864;"DianaShipping,Inc.(dsx)";"195.60";"-305.20";"-4.37";"-2,449.30";"-2,381.90"
2865;"EVOPayments,Inc.(evop)";"-4,066.70";"-1,502.50";"-102.80";"-1,009.40";"-787.10"
2866;"AppliedOptoelectronics,Inc.(aaoi)";"803.40";"212.00";"571.60";"1,937.50";"2,907.10"
2867;"AresCommercialRealEstateCorp.(acre)";"930.30";"931.80";"618.30";"1,105.80";"671.30"
2868;"ArQule,Inc.(arql)";"515.60";"-653.20";"-776.00";"-666.60";"-720.10"
2869;"AtlanticCapitalBancshares,Inc.(acbi)";"651.30";"815.10";"503.80";"-1,533.70";"405.20"
2870;"Ducommun,Inc.(dco)";"159.10";"260.00";"948.40";"465.50";"382.30"
2871;"CNBFinancialCorp.(Pennsylvania)(ccne)";"923.60";"840.20";"706.30";"343.60";"720.60"
2872;"Nautilus,Inc.(nls)";"100.70";"814.00";"853.20";"834.20";"256.60"
2873;"AchillionPharmaceuticals,Inc.(achn)";"-1,719.90";"-2,058.80";"-2,320.30";"-1,933.80";"-2,254.30"
2874;"MagicSoftwareEnterprisesLtd.(mgic)";"680.00";"578.80";"427.10";"462.00";"416.10"
2875;"TitanInternational,Inc.(twi)";"105.90";"1,234.30";"-3,815.10";"-1,210.00";"-1,057.70"
2876;"OppenheimerHoldings,Inc.(opy)";"507.10";"885.50";"670.50";"2,119.30";"778.90"
2877;"NaturalResourcePartnersLP(nrp)";"3,162.30";"1,858.80";"2,297.60";"1,884.90";"4,227.90"
2878;"AlliedMotionTechnologies,Inc.(amot)";"423.10";"419.80";"9.50";"305.70";"222.70"
2879;"NaturalGrocersbyVitaminCottage,Inc.(ngvc)";"199.10";"340.40";"518.10";"123.60";"59.80"
2880;"Citizens,Inc.(Austin,Texas)(cia)";"--";"--";"--";"--";"--"
2881;"WestwoodHoldingsGroup,Inc.(whg)";"536.80";"799.20";"797.80";"289.70";"413.20"
2882;"Farmers&MerchantsBancorp,Inc.(Ohio)(fmao)";"383.60";"407.30";"372.90";"340.10";"319.10"
2883;"RiminiStreet,Inc.(rmni)";"-2,544.60";"350.70";"-392.30";"-3.76";"-2.51"
2884;"KlondexMinesLtd.(kldx)";"-799.80";"-773.70";"-1,339.20";"769.20";"-1,022.70"
2885;"MotorcarPartsofAmerica,Inc.(mpaa)";"-501.40";"919.50";"-680.60";"630.10";"762.60"
2886;"SpartanMotors,Inc.(spar)";"374.00";"419.40";"243.90";"1,347.00";"112.40"
2887;"BarHarborBankshares(bhb)";"897.00";"853.50";"781.20";"660.90";"861.70"
2888;"BristowGroup,Inc.(brs)";"-3,204.10";"-1.01";"-993.70";"-3,139.60";"-5,574.60"
2889;"PlugPower,Inc.(plug)";"-2,586.80";"-1,983.50";"-1,943.90";"-4,098.30";"-4,261.90"
2890;"Smart&FinalStores,Inc.(sfs)";"660.10";"-709.40";"-1.47";"510.60";"712.80"
2891;"TETRATechnologies,Inc.(tti)";"-1,213.20";"-2,105.70";"-3,497.40";"-133.80";"-1,461.90"
2892;"ClearwaterPaperCorp.(clw)";"696.10";"260.00";"8,092.40";"86.30";"803.70"
2893;"XunleiLtd.(xnet)";"69.07";"678.78";"306.34";"-2,561.24";"-971.55"
2894;"CAIInternational,Inc.(cai)";"2,029.70";"1,713.80";"3,656.30";"1,758.70";"1,263.80"
2895;"ArmstrongFlooring,Inc.(afi)";"1,050.00";"-1,040.00";"-2,070.00";"-1,870.00";"540.00"
2896;"NordicAmericanTankersLtd.(nat)";"-2,718.70";"-1,872.00";"-1.51";"-1,589.80";"-1,589.80"
2897;"HCIGroup,Inc.(hci)";"--";"--";"--";"--";"--"
2898;"NanoStringTechnologies,Inc.(nstg)";"-2,060.10";"-1,920.20";"-875.10";"-1,140.40";"-455.50"
2899;"SeacorMarineHoldings,Inc.(smhi)";"-2,662.90";"-3,168.80";"2,790.40";"-2,235.60";"-3,648.90"
2900;"GoldStandardVenturesCorp.(gsv)";"-198.54";"-207.70";"-224.61";"-350.67";"-201.22"
2901;"Daseke,Inc.(dske)";"1,326.30";"-79.70";"3,879.90";"5.00";"-410.70"
2902;"JerniganCapital,Inc.(jcap)";"614.50";"173.60";"266.70";"409.00";"492.60"
2903;"Calix,Inc.(calx)";"-279.30";"-1,173.60";"-1,286.60";"-1,785.30";"-1,898.80"
2904;"EnergyRecovery,Inc.(erii)";"1,574.30";"-72.60";"1,162.50";"170.60";"-54.80"
2905;"IESHoldings,Inc.(iesc)";"864.90";"228.70";"-2,951.30";"320.00";"587.30"
2906;"LandecCorp.(lndc)";"19.00";"671.30";"1,608.60";"51.30";"221.20"
2907;"Net1U.E.P.S.Technologies,Inc.(ueps)";"511.70";"326.40";"983.80";"1,951.10";"1,144.70"
2908;"HomeBancorp,Inc.(hbcp)";"826.20";"777.58";"746.35";"419.80";"409.01"
2909;"TheKEYWHoldingCorp.(keyw)";"-1,139.40";"-312.70";"1,604.90";"-415.60";"-1,667.20"
2910;"CorbusPharmaceuticalsHoldings,Inc.(crbp)";"-1,206.94";"-1,169.54";"-1,069.37";"-696.56";"-729.69"
2911;"EloxxPharmaceuticals,Inc.(elox)";"-1,340.60";"-859.10";"-126.70";"-200.69";"-206.60"
2912;"MacatawaBankCorp.(mcbc)";"685.20";"672.80";"575.50";"219.40";"487.50"
2913;"Agilysys,Inc.(agys)";"-379.10";"-173.60";"-21.00";"-193.40";"-324.80"
2914;"SierraMetals,Inc.(smts)";"1,292.60";"1,113.30";"371.90";"-601.00";"-218.30"
2915;"HexindaiInc.(hx)";"2,932.69";"1,719.17";"2,700.20";"1,269.63";"893.18"
2916;"PolarityTE,Inc.(cool)";"-1,724.50";"-1,161.90";"-1,408.90";"-960.80";"-526.70"
2917;"EnterpriseBancorp,Inc.(ebtc)";"798.20";"757.40";"682.50";"272.00";"550.60"
2918;"UltraCleanHoldings,Inc.(uctt)";"1,896.00";"2,474.10";"2,084.90";"1,971.60";"2,017.90"
2919;"MesabiTrust(msb)";"1,887.15";"631.58";"505.55";"1,196.42";"1,311.41"
2920;"CommunityHealthSystems,Inc.(cyh)";"-9,100.00";"-600.00";"-20.04";"-8,800.00";"-1.16"
2921;"ObsidianEnergyLtd.(obe)";"-7,435.17";"-5,139.13";"-4,562.31";"-3,510.51";"-669.33"
2922;"DonegalGroup,Inc.(dgica)";"--";"--";"--";"--";"--"
2923;"Verastem,Inc.(vstm)";"-1,836.70";"-2,105.00";"-1,823.50";"-2,312.60";"-1,343.60"
2924;"CharterFinancialCorp.(Georgia)(chfn)";"464.61";"524.95";"439.70";"255.98";"351.39"
2925;"FLYLeasingLtd.(fly)";"2,414.26";"965.15";"722.29";"-1,259.64";"292.35"
2926;"FarmersNationalBancCorp.(fmnb)";"808.40";"807.30";"772.60";"523.50";"598.30"
2927;"KuraOncology,Inc.(kura)";"-1,473.90";"-1,460.40";"-1,074.80";"-933.30";"-782.00"
2928;"MediciNova,Inc.(mnov)";"-678.00";"-314.41";"-454.31";"-160.29";"-375.51"
2929;"SouthernNationalBancorpofVirginia,Inc.(sona)";"886.10";"886.70";"825.90";"-116.10";"437.40"
2930;"MidWestOneFinancialGroup,Inc.(mofg)";"677.80";"815.60";"779.30";"-159.00";"634.20"
2931;"MountainProvinceDiamonds,Inc.(mpvd)";"-486.38";"5.30";"-1,252.83";"2,207.55";"561.79"
2932;"HaynesInternational,Inc.(hayn)";"68.80";"-210.40";"-2,254.70";"-368.40";"-399.40"
2933;"Cytokinetics,Inc.(cytk)";"-2,752.30";"-3,028.10";"-4,048.40";"-3,235.70";"-2,908.10"
2934;"SiebertFinancialCorp.(sieb)";"179.90";"169.30";"73.20";"100.10";"36.50"
2935;"TGTherapeutics,Inc.(tgtx)";"-4,414.20";"-4,152.90";"-3,085.98";"-3,153.57";"-2,835.31"
2936;"ProgenicsPharmaceuticals,Inc.(pgnx)";"-1,517.20";"-1,342.40";"-266.50";"-1,535.20";"-1,663.60"
2937;"PHHCorp.(phh)";"-3,500.00";"-3,000.00";"-4,900.00";"-5,500.00";"-4,600.00"
2938;"Amyris,Inc.(amrs)";"153.30";"-9,149.60";"-677.90";"-3,386.10";"62.00"
2939;"HeritageInsuranceHoldings,Inc.(hrtg)";"--";"--";"--";"--";"--"
2940;"InnerWorkings,Inc.(inwk)";"-29.90";"-168.40";"149.90";"752.80";"449.30"
2941;"PDLBioPharma,Inc.(pdli)";"-1.12";"160.20";"2,233.60";"2,073.20";"6,043.90"
2942;"GuarantyBancshares,Inc.(Texas)(gnty)";"509.10";"463.40";"435.90";"280.80";"413.90"
2943;"WestBancorp,Inc.(wtba)";"713.30";"676.40";"738.40";"419.40";"640.50"
2944;"DriveShack,Inc.(ds)";"-480.30";"-1,629.50";"-2,407.20";"-46.90";"-470.60"
2945;"Baldwin&Lyons,Inc.(bwina)";"--";"--";"--";"--";"--"
2946;"ParkElectrochemicalCorp.(pke)";"182.40";"316.80";"1,796.50";"71.60";"52.00"
2947;"ConcertPharmaceuticals,Inc.(cnce)";"-1,332.50";"-446.30";"-607.70";"1.27";"-1,302.70"
2948;"GreatLakesDredge&DockCorp.(gldd)";"-97.40";"-932.10";"-883.30";"-494.50";"-106.20"
2949;"DonegalGroup,Inc.(dgicb)";"--";"--";"--";"--";"--"
2950;"ComputerPrograms&Systems,Inc.(cpsi)";"32.00";"384.60";"-2,112.70";"223.30";"154.20"
2951;"LumberLiquidatorsHoldings,Inc.(ll)";"-145.40";"-197.20";"298.90";"-1,891.50";"447.50"
2952;"ExantasCapitalCorp.(xan)";"615.20";"-1,258.20";"-1,213.10";"1,264.40";"246.40"
2953;"Baldwin&Lyons,Inc.(bwinb)";"--";"--";"--";"--";"--"
2954;"JASolarHoldingsCo.,Ltd.(jaso)";"1,746.35";"628.01";"118.08";"5,145.88";"594.24"
2955;"GeneralFinanceCorp.(gfn)";"-1,067.40";"-56.30";"297.40";"-84.40";"-40.20"
2956;"NewtekBusinessServicesCorp.(newt)";"762.10";"811.20";"1,806.40";"807.70";"590.40"
2957;"PermianBasinRoyaltyTrust(pbt)";"704.84";"931.09";"726.43";"590.03";"697.18"
2958;"SimulationsPlus,Inc.(slp)";"240.60";"347.48";"171.60";"115.02";"208.00"
2959;"CraftBrewAlliance,Inc.(brew)";"445.20";"16.10";"783.50";"175.10";"172.40"
2960;"NeoPhotonicsCorp.(nptn)";"-1,053.70";"-1,824.60";"-1,428.30";"-1,818.70";"-934.10"
2961;"NamTaiProperty,Inc.(ntp)";"-584.50";"256.80";"-247.70";"252.20";"208.50"
2962;"Hawkins,Inc.(hwkn)";"912.30";"-3,736.10";"1,714.30";"521.00";"583.10"
2963;"CambridgeBancorp(catc)";"665.90";"605.10";"574.10";"95.50";"495.70"
2964;"KeryxBiopharmaceuticals,Inc.(kerx)";"-2,151.80";"-2,189.60";"-3,042.90";"-2,349.80";"-8,649.70"
2965;"AmericanSoftware,Inc.(amswa)";"138.50";"126.80";"558.00";"248.00";"272.50"
2966;"NIHoldings,Inc.(nodk)";"--";"--";"--";"--";"--"
2967;"AudioCodesLtd.(audc)";"413.50";"239.40";"243.40";"67.20";"104.90"
2968;"CedarRealtyTrust,Inc.(cdr)";"679.50";"-1,968.40";"243.80";"257.50";"-826.60"
2969;"BraemarHotels&Resorts,Inc.(bhr)";"960.20";"215.40";"2,324.50";"-286.70";"-275.30"
2970;"CalumetSpecialtyProductsPartnersLP(clmt)";"-5,120.00";"-290.00";"-1,870.00";"-2,360.00";"940.00"
2971;"CitiTrends,Inc.(ctrn)";"323.50";"1,129.70";"524.70";"64.70";"-21.00"
2972;"ZixCorp.(zixi)";"245.50";"184.00";"189.20";"-1,287.70";"190.60"
2973;"PCSBFinancialCorp.(pcsb)";"232.90";"266.90";"217.70";"2,000.00";"175.60"
2974;"OrchidIslandCapital,Inc.(orc)";"-295.90";"134.60";"-1,637.70";"-598.20";"1,518.30"
2975;"HookerFurnitureCorp.(hoft)";"867.40";"714.30";"882.00";"719.00";"775.90"
2976;"BioScrip,Inc.(bios)";"-1,512.40";"-1,298.70";"-119.50";"-1,240.40";"-2,869.50"
2977;"OMNOVASolutions,Inc.(omn)";"-190.00";"840.00";"730.00";"-9,290.00";"790.00"
2978;"OiSA(oibr.c)";"-3.42";"94.03";"-9.52";"-820.57";"-10.16"
2979;"SolarisOilfieldInfrastructure,Inc.(soi)";"2,103.30";"1,312.70";"924.40";"730.20";"217.00"
2980;"ArtesianResourcesCorp.(artna)";"392.60";"347.80";"370.40";"394.20";"325.10"
2981;"CenturyBancorp,Inc.(Massachusetts)(cnbka)";"958.10";"899.80";"770.90";"2.50";"802.30"
2982;"MarlinBusinessServicesCorp.(mrln)";"635.20";"606.50";"1,550.70";"322.50";"444.40"
2983;"CapitalProductPartnersLP(cplp)";"526.00";"675.00";"961.70";"978.10";"1,220.00"
2984;"GladstoneInvestmentCorp.(gain)";"3,232.70";"2,184.60";"1,714.40";"1,355.60";"814.10"
2985;"HibbettSports,Inc.(hibb)";"-122.20";"2,150.90";"973.30";"756.40";"-317.60"
2986;"HawaiianTelcomHoldCo,Inc.(hcom)";"-573.60";"-909.30";"-9,271.90";"-347.60";"-195.20"
2987;"RegionalManagementCorp.(rm)";"848.20";"864.40";"1,088.50";"530.90";"613.50"
2988;"P.A.M.TransportationServices,Inc.(ptsi)";"924.83";"728.90";"138.70";"3,156.15";"344.60"
2989;"SilicomLtd.(silc)";"376.60";"243.60";"-143.90";"1,031.10";"461.30"
2990;"DynexCapital,Inc.(dx)";"1,271.00";"4,136.70";"1,905.30";"750.30";"-1,007.30"
2991;"Zagg,Inc.(zagg)";"321.50";"702.90";"805.90";"977.60";"340.30"
2992;"AmericaFirstMultifamilyInvestorsLP(atax)";"259.42";"523.37";"1,401.81";"299.16";"364.17"
2993;"PowellIndustries,Inc.(powl)";"30.10";"-333.00";"-566.20";"-514.20";"-321.50"
